duplicate_key,kept_mission_id,kept_title,kept_address,kept_source,kept_source_id,removed_mission_id,removed_title,removed_address,removed_source,removed_source_id
해운대 가야밀면||부산광역시 해운대구 좌동순환로 27 (좌동),MISSION_0030,해운대 가야밀면,부산광역시 해운대구 좌동순환로 27 (좌동),kto_area_based,2786779,MISSION_0105,해운대 가야밀면,부산광역시 해운대구 좌동순환로 27 (좌동),kto_keyword_search,2786779
해운대 빛축제||부산광역시 해운대구 해운대해변로 280 (중동),MISSION_0005,해운대 빛축제,부산광역시 해운대구 해운대해변로 280 (중동),kto_area_based,2048902,MISSION_0110,해운대 빛축제,부산광역시 해운대구 해운대해변로 280 (중동),kto_keyword_search,2048902
해운대기와집대구탕||부산광역시 해운대구 달맞이길50번길 4 (중동),MISSION_0099,해운대기와집대구탕,부산광역시 해운대구 달맞이길50번길 4 (중동),kto_area_based,2760773,MISSION_0112,해운대기와집대구탕,부산광역시 해운대구 달맞이길50번길 4 (중동),kto_keyword_search,2760773
금정산||부산광역시 금정구 금성동,MISSION_0191,금정산,부산광역시 금정구 금성동,busan_attraction,396,MISSION_0043,금정산,부산광역시 금정구 금성동,kto_area_based,126028
