signguCode,signguNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
26230,부산진구,7,일요일,3,외국인(c),7956.559999999999,20250601
26260,동래구,7,일요일,1,현지인(a),139786.5,20250601
26260,동래구,7,일요일,2,외지인(b),123599.0,20250601
26260,동래구,7,일요일,3,외국인(c),680.3,20250601
26290,남구,7,일요일,1,현지인(a),131806.5,20250601
26290,남구,7,일요일,2,외지인(b),78137.5,20250601
26290,남구,7,일요일,3,외국인(c),5631.329999999999,20250601
26320,북구,7,일요일,1,현지인(a),145887.0,20250601
26320,북구,7,일요일,2,외지인(b),68663.0,20250601
26320,북구,7,일요일,3,외국인(c),684.16,20250601
26350,해운대구,7,일요일,1,현지인(a),233166.5,20250601
26350,해운대구,7,일요일,2,외지인(b),234325.0,20250601
26350,해운대구,7,일요일,3,외국인(c),13793.219999999996,20250601
26380,사하구,7,일요일,1,현지인(a),143206.0,20250601
26380,사하구,7,일요일,2,외지인(b),70031.5,20250601
26380,사하구,7,일요일,3,외국인(c),5784.509999999999,20250601
26410,금정구,7,일요일,1,현지인(a),115776.5,20250601
26410,금정구,7,일요일,2,외지인(b),89229.0,20250601
26410,금정구,7,일요일,3,외국인(c),1001.45,20250601
26440,강서구,7,일요일,1,현지인(a),75572.0,20250601
26440,강서구,7,일요일,2,외지인(b),121642.5,20250601
26440,강서구,7,일요일,3,외국인(c),15605.430000000002,20250601
26470,연제구,7,일요일,1,현지인(a),69405.0,20250601
26470,연제구,7,일요일,2,외지인(b),83153.0,20250601
26470,연제구,7,일요일,3,외국인(c),1202.8599999999997,20250601
26500,수영구,7,일요일,1,현지인(a),90181.0,20250601
26500,수영구,7,일요일,2,외지인(b),123259.5,20250601
26500,수영구,7,일요일,3,외국인(c),4624.349999999999,20250601
26530,사상구,7,일요일,1,현지인(a),82722.5,20250601
26530,사상구,7,일요일,2,외지인(b),68582.5,20250601
26530,사상구,7,일요일,3,외국인(c),1768.7399999999998,20250601
26710,기장군,7,일요일,1,현지인(a),95476.5,20250601
26710,기장군,7,일요일,2,외지인(b),178307.5,20250601
26710,기장군,7,일요일,3,외국인(c),5511.65,20250601
27110,중구,7,일요일,1,현지인(a),74018.0,20250601
27110,중구,7,일요일,2,외지인(b),188352.5,20250601
27110,중구,7,일요일,3,외국인(c),1140.95,20250601
27140,동구,7,일요일,1,현지인(a),185790.5,20250601
27140,동구,7,일요일,2,외지인(b),220395.0,20250601
27140,동구,7,일요일,3,외국인(c),2216.78,20250601
27170,서구,7,일요일,1,현지인(a),55790.0,20250601
27170,서구,7,일요일,2,외지인(b),58261.0,20250601
27170,서구,7,일요일,3,외국인(c),408.6,20250601
27200,남구,7,일요일,1,현지인(a),62160.0,20250601
27200,남구,7,일요일,2,외지인(b),67851.0,20250601
27200,남구,7,일요일,3,외국인(c),561.17,20250601
27230,북구,7,일요일,1,현지인(a),236820.5,20250601
27230,북구,7,일요일,2,외지인(b),140294.0,20250601
27230,북구,7,일요일,3,외국인(c),1016.0599999999998,20250601
27260,수성구,7,일요일,1,현지인(a),232151.5,20250601
27260,수성구,7,일요일,2,외지인(b),138054.0,20250601
27260,수성구,7,일요일,3,외국인(c),887.6499999999999,20250601
27290,달서구,7,일요일,1,현지인(a),290930.5,20250601
27290,달서구,7,일요일,2,외지인(b),145516.0,20250601
27290,달서구,7,일요일,3,외국인(c),1310.94,20250601
27710,달성군,7,일요일,1,현지인(a),120708.0,20250601
27710,달성군,7,일요일,2,외지인(b),106757.0,20250601
27710,달성군,7,일요일,3,외국인(c),1028.81,20250601
27720,군위군,7,일요일,1,현지인(a),10073.0,20250601
27720,군위군,7,일요일,2,외지인(b),32119.5,20250601
27720,군위군,7,일요일,3,외국인(c),314.39,20250601
28110,중구,7,일요일,1,현지인(a),123868.5,20250601
28110,중구,7,일요일,2,외지인(b),334243.0,20250601
28110,중구,7,일요일,3,외국인(c),58256.319999999985,20250601
28140,동구,7,일요일,1,현지인(a),21913.5,20250601
28140,동구,7,일요일,2,외지인(b),23656.5,20250601
28140,동구,7,일요일,3,외국인(c),301.14000000000004,20250601
28177,미추홀구,7,일요일,1,현지인(a),198100.0,20250601
28177,미추홀구,7,일요일,2,외지인(b),113060.5,20250601
